,GEOID,water,tree_canopy_perc,potential_tree_canopy,impervious_surface,area,water_acres,tree_canopy_perc_acres,potential_tree_canopy_acres,impervious_surface_acres,poverty_percent,poverty_percent_normalized,incorporated_place_name,incorporated_place_mean_tree_equity_score,poc_percent,poc_percent_normalized,unemployment_rate,unemployment_rate_normalized,dependent_ratio,dependent_ratio_normalized,child_percent,senior_percent,tree_equity_score,congressional_district,mental_health,health_normalized,total_population,tree_canopy_goal,tree_canopy_gap,temperature,temperature_normalized,holc_grade,afternoon_air_average_temperature,evening_air_average_temperature,equity_index,tree_canopy_gap_max
0,517600102001,0.0,0.21604366375903308,0.4163607748581561,0.49524450626130234,105.35303032828283,0.0,22.76085466023875,43.86486934113866,52.17550948806244,0.448241206030151,0.448241206030151,Richmond,82.27933240206322,0.680402010050251,0.677229105817898,0.087520259319287,0.231027743350176,0.21638141809291,0.072618916155844,0.12964824120603,0.048241206030151,84.55628056886056,VA Congressional District 4,10.3,0.292000080900259,995.0,0.4,0.183956336240967,72.29201680672269,0.59571296309604,C,90.91995646838436,88.62898634970077,0.386138335891728,0.459944858941182
1,517600102002,0.0,0.26445301216420064,0.4647872067272202,0.37550550438103797,123.1848787144169,0.0,32.57661222910927,57.25475568870523,46.256600013774104,0.183297180043384,0.183297180043384,Richmond,82.27933240206322,0.072668112798265,0.063461749297164,0.067924528301887,0.179300776914539,0.544388609715243,0.185489574697148,0.096529284164859,0.255965292841649,88.87326804234137,VA Congressional District 4,10.3,0.292000080900259,922.0,0.48,0.215546987835799,71.6003616636528,0.521017006379073,B,90.14898088175421,87.97621276776064,0.237427728038595,0.459944858941182
2,517600102003,0.005073308881901035,0.46975754823130944,0.3404239197168087,0.2551305606083775,541.3443550390266,2.746407124586481,254.30059697199263,184.28656725895317,138.1134887832874,0.222322232223222,0.222322232223222,Richmond,82.27933240206322,0.277508090614887,0.270335337001858,0.045833333333333,0.120986519607843,2.911392405063291,1.0,0.101132686084142,0.643203883495146,99.1654372097998,VA Congressional District 4,10.3,0.292000080900259,1236.0,0.48,0.010242451768691,69.9515806322529,0.342955326666009,B,89.69043620712628,87.10018829282103,0.374766582733199,0.459944858941182
3,517600102004,0.0,0.160989551609427,0.40890623222066785,0.5753843682438537,184.5887768480257,0.0,29.716864416896236,75.47950125114784,106.20949675160696,0.041379310344828,0.041379310344828,Richmond,82.27933240206322,0.2,0.192057761732852,0.095914742451154,0.25318670985268,0.547256097560976,0.18647630684746,0.298522167487685,0.055172413793103,80.66096843023702,VA Congressional District 4,10.3,0.292000080900259,1015.0,0.48,0.319010448390573,73.33049817739976,0.7078647489863,B,91.11918905374206,88.82815664122414,0.278827486444063,0.459944858941182
4,517600103001,3.2177801660857233e-06,0.2818012225995082,0.5223817441872626,0.3250330426864046,307.1736842768595,0.0009884173888095565,86.56191977961433,160.46192496097336,99.84159723370064,0.617114303560275,0.617114303560275,Richmond,82.27933240206322,0.940037476577139,0.939442180766984,0.145945945945946,0.385254372019078,0.745910577971647,0.25483536298654,0.283572767020612,0.14366021236727,75.32426488481089,VA Congressional District 4,17.6,0.596471071879165,1601.0,0.48,0.198198777400492,72.7268115942029,0.642669040776942,D,90.40726429458476,88.08169463848628,0.572631055331497,0.459944858941182
5,517600104011,0.0,0.22856331892141654,0.43118386745437143,0.43788771906663587,187.1759676882461,0.0,42.78156039715335,80.70725764233241,81.96205755509642,0.088445078459344,0.088445078459344,Richmond,82.27933240206322,0.098081023454158,0.089126954192421,0.026794258373206,0.070728961441036,0.4,0.135803964501176,0.176261549395878,0.109452736318408,89.27008628867019,VA Congressional District 4,12.3,0.232170270251369,1407.0,0.48,0.251436681078583,71.97426900584796,0.561397486346014,B,90.35858227183385,87.87695294757194,0.196278785865227,0.459944858941182
6,517600104012,0.0,0.2466675602104934,0.4743297623492544,0.40913297527755704,154.86524059228648,0.0,38.20023105831037,73.45719276629936,63.360476650596866,0.331269349845201,0.331269349845201,Richmond,82.27933240206322,0.693436293436293,0.690392790934307,0.049768518518518,0.131374251089324,0.393972012917115,0.133729671957899,0.106563706563707,0.176061776061776,88.74014167608539,VA Congressional District 4,12.3,0.232170270251369,1295.0,0.4,0.153332439789507,71.47619047619048,0.507607020583243,D,90.65171713610079,88.40696457089201,0.337757225776891,0.459944858941182
7,517600104021,6.950873591708642e-05,0.22882683282874372,0.4725842925959176,0.4024939101677643,167.0744585697888,0.011613134419217646,38.231119201101926,78.95676481404958,67.24645211891642,0.214611872146119,0.214611872146119,Richmond,82.27933240206322,0.227237949502678,0.219566124091603,0.043551088777219,0.114962065228101,0.856534090909091,0.292902055041811,0.177505738332058,0.283856159143076,85.36230906372899,VA Congressional District 4,11.9,0.278393865217307,1307.0,0.48,0.251173167171256,71.29301075268818,0.487824351669045,B,89.95218687335378,87.76353147427993,0.268043388898998,0.459944858941182
8,517600104022,0.0002591290755361255,0.21824532506135008,0.4748652806635424,0.42557514391662243,236.43118860422405,0.06126619533091991,51.60000161157025,112.27296273415978,100.61923711662075,0.270815074496056,0.270815074496056,Richmond,82.27933240206322,0.506086956521739,0.501183487678543,0.0,0.0,0.390568319226119,0.132558425844435,0.149565217391304,0.131304347826087,83.37732632413507,VA Congressional District 4,11.9,0.278393865217307,1150.0,0.48,0.26175467493865,72.04995287464656,0.569571037926736,B,90.64953484143852,88.31790127871349,0.292086981860513,0.459944858941182
9,517600104023,0.0,0.24663703693379305,0.4938263646547834,0.38077749301796426,141.83167985996326,0.0,34.98094526400367,70.04022285812671,54.006311487603305,0.337837837837838,0.337837837837838,Richmond,82.27933240206322,0.585271317829457,0.581153975316934,0.110260336906585,0.291054859922529,0.145394006659267,0.048191415536031,0.056201550387597,0.070736434108527,83.15550578714146,VA Congressional District 4,11.9,0.278393865217307,1032.0,0.48,0.233362963066207,70.99221183800623,0.455339286045347,C,90.01764872649905,87.78152599517615,0.331995206645998,0.459944858941182
10,517600105001,0.0,0.22480070325529428,0.4837207901215635,0.38106413918320514,90.23266666896235,0.0,20.28436692378329,43.64741681588614,34.384433450413226,0.299719887955182,0.299719887955182,Richmond,82.27933240206322,0.92250233426704,0.921732953109042,0.032085561497326,0.084696445423089,0.561224489795918,0.191282974721183,0.175536881419234,0.183940242763772,85.28492994777575,VA Congressional District 4,12.0,0.34620205070237,1071.0,0.4,0.175199296744706,71.16708229426433,0.474224587720045,D,90.6747266271638,88.0877680345488,0.386309816605152,0.459944858941182
11,517600105002,0.0,0.17982285839010212,0.5267194338820664,0.37974014635435216,107.55127767447198,0.0,19.340178174931125,56.64934808999081,40.841537924701555,0.162523900573614,0.162523900573614,Richmond,82.27933240206322,0.680688336520076,0.67751827487903,0.038585209003215,0.101853603177605,0.551928783382789,0.188084226244764,0.101338432122371,0.254302103250478,78.34125984102364,VA Congressional District 4,12.0,0.34620205070237,523.0,0.48,0.300177141609898,71.54471544715447,0.51500744016581,D,90.21135986292995,88.14454537623216,0.331864915957199,0.459944858941182
12,517600106001,0.00020734006110958146,0.11877697512852732,0.5148429407809868,0.5132619236897237,221.6263782116621,0.045952026801901226,26.324110812672178,114.10277631313133,113.75238122130395,0.37505710370032,0.37505710370032,Richmond,82.27933240206322,0.749444691248334,0.746957228796828,0.075539568345324,0.199402242911553,0.486789960369881,0.165669285237806,0.163038649489116,0.164371390493114,74.16933897296596,VA Congressional District 4,13.1,0.367155674827368,2251.0,0.4,0.281223024871473,73.07754279959718,0.680546591750019,C,91.32791891206317,88.78450215810416,0.422464687870649,0.459944858941182
